City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,55.81,93,100,3.0,NZ,1682286212
1,grytviken,-54.2811,-36.5092,38.34,96,100,11.63,GS,1682286212
2,kudahuvadhoo,2.6708,72.8944,84.2,70,89,6.35,MV,1682286212
3,hermanus,-34.4187,19.2345,64.8,91,100,8.75,ZA,1682286213
4,rio san juan,19.6439,-70.0763,77.74,68,9,9.51,DO,1682286213
5,west island,-12.1568,96.8225,80.58,89,40,8.05,CC,1682286213
6,kowon-up,39.4381,127.2431,46.92,81,100,4.29,KP,1682286213
7,ushuaia,-54.8,-68.3,44.26,57,20,4.61,AR,1682286082
8,olonkinbyen,70.9221,-8.7187,24.03,59,30,14.41,SJ,1682286214
9,port mathurin,-19.6833,63.4167,79.07,81,13,19.39,MU,1682286214
10,awjilah,29.1081,21.2869,78.13,22,0,9.31,LY,1682286214
11,zhangye,38.9342,100.4517,49.23,54,100,3.44,CN,1682286214
12,ilhabela,-23.7781,-45.3581,70.95,84,7,8.7,BR,1682286215
13,port-aux-francais,-49.35,70.2167,39.43,64,55,32.03,TF,1682286215
14,iskateley,67.6803,53.1512,16.99,90,25,14.12,RU,1682286215
15,leava,-14.3,-178.1667,82.0,77,56,12.3,WF,1682286215
16,margaret river,-33.95,115.0667,56.86,69,100,21.03,AU,1682286215
17,wailua homesteads,22.0669,-159.378,79.23,77,100,4.61,US,1682286216
18,lebu,-37.6167,-73.65,54.84,82,0,12.95,CL,1682286212
19,znamenskoye,57.1281,73.8282,46.06,76,98,7.52,RU,1682285956
20,st. john's,47.5649,-52.7093,38.68,97,100,21.99,CA,1682285929
21,lorengau,-2.0226,147.2712,81.09,81,100,2.89,PG,1682286216
22,banda aceh,5.5577,95.3222,81.14,77,84,1.01,ID,1682285940
23,puerto ayora,-0.7393,-90.3518,85.96,86,59,10.0,EC,1682286217
24,papatowai,-46.5619,169.4708,50.63,67,59,20.42,NZ,1682286217
25,qaqortoq,60.7167,-46.0333,34.95,82,90,2.28,GL,1682286217
26,badger,64.8,-147.5333,15.51,51,100,24.16,US,1682286217
27,dunedin,-45.8742,170.5036,52.81,10,16,20.67,NZ,1682285997
28,tebingtinggi,3.3285,99.1625,75.34,94,99,2.33,ID,1682286218
29,blackmans bay,-43.0167,147.3167,44.53,83,34,5.39,AU,1682286218
30,edinburgh of the seven seas,-37.0676,-12.3116,59.85,86,100,27.51,SH,1682286218
31,adamstown,-25.066,-130.1015,75.42,91,99,18.19,PN,1682286219
32,stanley,54.868,-1.6985,42.39,87,40,12.66,GB,1682286219
33,newnham,-41.3833,147.1333,55.67,87,100,4.61,AU,1682286219
34,warm mineral springs,27.0598,-82.2601,89.64,82,0,13.8,US,1682286219
35,flin flon,54.7682,-101.865,44.44,23,20,6.91,CA,1682285934
36,ust-nera,64.5667,143.2,20.16,91,100,7.34,RU,1682285921
37,avarua,-21.2078,-159.775,78.85,65,33,11.5,CK,1682286220
38,scottsbluff,41.8666,-103.6672,60.3,28,40,6.91,US,1682286220
39,port lincoln,-34.7333,135.8667,63.55,61,0,9.37,AU,1682286220
40,puerto natales,-51.7236,-72.4875,45.86,87,100,2.71,CL,1682286220
41,pico truncado,-46.7949,-67.9573,55.81,47,100,9.33,AR,1682286221
42,holualoa,19.6228,-155.9522,76.84,82,40,13.8,US,1682286221
43,karratha,-20.7377,116.8463,79.02,61,86,2.82,AU,1682286221
44,sechura,-5.5569,-80.8222,79.23,79,100,9.17,PE,1682286221
45,polovinnoye,54.7914,65.9864,43.03,87,32,9.33,RU,1682286221
